4,Bonfire Damage,0
31,Old Lion Statue,0
32,Sunken Chest,0
33,Locked Chest,0
34,Old Jug,0
35,Captain's Footlocker,0
36,Broken Barrel,0
41,Ambassador's Locker,0
47,Wanted!,0
52,Fall of Gurubashi,0
54,The Emperor's Tomb,0
55,A half-eaten body,0
56,Rolf's corpse,0
57,Bloodscalp Lore Tablet,0
58,Gri'lek the Wanderer,0
60,Wanted: Gath'Ilzogg,0
61,A Weathered Grave,0
68,Wanted Poster,0
73,Treasure Chest,0
74,Treasure Chest,0
75,Wooden Chest,0
76,An Empty Jar,0
80,Old Coast Road,0
81,Sentinel Hill,0
82,Elwynn Forest,0
83,Jangolode Mine,0
84,Old Coast Road,0
85,Duskwood,0
86,Elwynn Forest,0
87,Moonbrook,0
88,Duskwood,0
89,Northshire Abbey,0
90,Stormwind City,0
91,Northshire Abbey,0
92,Stormwind City,0
93,Westbrook Garrison,0
94,Westfall,0
95,Eastvale Logging Camp,0
96,Redridge,0
97,Goldshire,0
98,Stormwind City,0
99,Redridge,0
100,Eastvale Logging Camp,0
101,Stranglethorn,0
102,Raven Hill,0
103,Deadwind Pass,0
104,Redridge,0
105,Stranglethorn,0
106,Westfall,0
107,Darkshire,0
108,Raven Hill,0
109,Westfall,0
110,Stranglethorn,0
111,Raven Hill,0
112,Darkshire,0
113,Duskwood,0
114,Lakeshire,0
115,Elwynn,0
116,Stonewatch Keep,0
117,Lakeshire,0
118,Stonewatch Keep,0
119,Abercrombie's Crate,0
121,Duskwood,0
122,Sentinel Hill,0
123,Elwynn Forest,0
124,Moonbrook,0
129,Naxx Teleporter trap,0
252,I Should not be here B,0
256,Wanted!,0
257,Suspicious Barrel,0
259,Half-buried Barrel,0
261,Damaged Crate,0
263,Kurzen Supplies,0
264,Kurzen Supplies,0
267,Stasis Trap,0
269,Guarded Thunder Ale Barrel,0
270,Unguarded Thunder Ale Barrel,0
271,Miners' League Crates,0
272,MacGrann's Meat Locker,0
275,Bellowfiz Bubbles,0
276,Shimmerweed Basket,0
287,Bookie Herod's Records,0
288,Bookie Herod's Strongbox,0
290,Furlbrow's Wardrobe,0
298,Thelsamar,0
299,Searing Gorge,0
301,Wetlands,0
302,Dun Morogh,0
303,Dun Morogh,0
304,Wetlands,0
305,Thelsamar,0
306,Thelsamar,0
307,Searing Gorge,0
308,Dun Morogh,0
309,Anvilmar,0
310,Ironforge,0
311,Loch Modan,0
312,Kharanos,0
313,Anvilmar,0
314,Ironforge,0
